gene_symbol	gene_id	logFC	AveExpr	t	P.Value	adj.P.Val
C16orf89	ENSG00000153446.15	2.06191914394322	0.910160198809088	4.35641851150791	5.01267717106423e-05	0.0128160934518811
EYA4	ENSG00000112319.17	2.00706011025915	0.0999350727063356	3.80974376167952	0.000320135797300719	0.0229546994808895
ENSG00000227253	ENSG00000227253.3	2.00644344803127	-2.7068946537524	3.58100589790882	0.000669414995668452	0.0294776923500026
DMRT2	ENSG00000173253.15	1.99629149000758	-1.902347215722	3.61766583005706	0.000595755706336937	0.028301682770384
H1-4	ENSG00000168298.6	1.9215806931724	-2.269670087247	3.44507385007788	0.00102548640400849	0.0346792591908759
ENSG00000265625	ENSG00000265625.1	1.77931117479065	-2.35298075711432	4.34001964807112	5.30840131441622e-05	0.0128160934518811
POU5F1	ENSG00000204531.17	1.69184545771278	0.0421296971503626	3.76935245864311	0.000365314071941391	0.0236609065298009
PTCHD4	ENSG00000244694.7	1.67844460957747	-1.49440137748103	3.21504574374426	0.00206576206627768	0.048284656728081
ADRA1A	ENSG00000120907.17	1.65642792655573	-0.402469418960275	3.36434142527363	0.00131534346685814	0.0387510257300441
ENSG00000229808	ENSG00000229808.1	1.64800340517916	-2.01580150118277	3.20741948467023	0.00211327461314382	0.0485620321644483
TMEM123-DT	ENSG00000255337.1	1.64095868286875	-1.9840451665049	3.65114152385654	0.000535297253459439	0.0272705303436162
RPS28P4	ENSG00000237039.1	1.61155899107631	-1.10398180499444	3.99937617374061	0.000170611065692149	0.0187015221606112
CP	ENSG00000047457.13	1.6080211673326	2.78760304766829	3.75476963911004	0.000383077679423207	0.023722209674152
GDF15	ENSG00000130513.6	1.57756640274112	1.3159905772242	3.32455657681333	0.00148518058636632	0.0405938789126519
ATP6V1B1	ENSG00000116039.11	1.5737894662394	0.268929402068037	3.64775445682334	0.000541137530193996	0.0274497768973141
CHMP1B2P	ENSG00000278530.4	1.55167137514534	-0.122793539156027	5.21582441958047	2.20339165238447e-06	0.00534441163504447
H2BC6	ENSG00000274290.2	1.51447919438338	-2.43624622031445	3.20567839865142	0.00212426475036205	0.0486387774113511
LRRC2	ENSG00000163827.12	1.50887166207934	0.778974031149839	4.6840495265004	1.56400252358985e-05	0.00932194379138411
PPP4R4	ENSG00000119698.11	1.48023356138321	-1.22247540357141	3.73758224916484	0.000405075687908155	0.0243148666097673
AIM2	ENSG00000163568.14	1.46339515423302	-0.69409671480985	3.31316390402519	0.00153750208362093	0.0413607577445725
